Group,Day,Tank,ZT,
Experiment,4,3,19,27.98888889
Experiment,5,1,19,26.66388889
Experiment,5,2,19,27.95555556
Experiment,5,3,19,27.48055556
Experiment,6,1,19,26.65833333
Experiment,6,2,19,27.06666667
Experiment,6,3,19,27.94166667
Experiment,7,1,19,26.89444444
Experiment,7,2,19,27.46111111
Experiment,7,3,19,27.35
Experiment,8,1,19,27.53333333
Experiment,8,2,19,27.12222222
Experiment,8,3,19,27.74722222
Experiment,9,1,19,27.05833333
Experiment,9,2,19,27.13888889
Experiment,9,3,19,27.93611111
Experiment,10,1,19,26.825
Experiment,10,2,19,27.01388889
Experiment,10,3,19,27.67777778
Experiment,11,1,19,26.76944444
Experiment,11,2,19,27.03611111
Experiment,1,1,20,27.11944444
Experiment,1,2,20,27.48888889
Experiment,1,3,20,28.375
Experiment,2,1,20,27.06666667
Experiment,2,2,20,27.36759259
Experiment,2,3,20,27.58611111
Experiment,3,1,20,27.36759259
Experiment,3,2,20,26.87222222
Experiment,3,3,20,27.85555556
Experiment,4,1,20,26.57777778
Experiment,4,2,20,27.41666667
Experiment,4,3,20,28.32222222
Experiment,5,1,20,26.73888889
Experiment,5,2,20,27.58333333
Experiment,5,3,20,27.95277778
Experiment,6,1,20,26.40833333
Experiment,6,2,20,27.325
Experiment,6,3,20,27.86111111
Experiment,7,1,20,27.075
Experiment,7,2,20,27.10555556
Experiment,7,3,20,27.66666667
Experiment,8,1,20,27.41666667
Experiment,8,2,20,27.06666667
Experiment,8,3,20,27.99166667
Experiment,9,1,20,27.16666667
Experiment,9,2,20,27.26666667
Experiment,9,3,20,27.8
Experiment,10,1,20,26.50833333
Experiment,10,2,20,27.6
Experiment,10,3,20,27.81944444
Experiment,11,1,20,26.825
Experiment,11,2,20,27.16944444
Experiment,1,1,21,26.96388889
Experiment,1,2,21,27.78055556
Experiment,1,3,21,27.98611111
Experiment,2,1,21,26.84166667
Experiment,2,2,21,27.53824074
Experiment,2,3,21,27.69444444
Experiment,3,1,21,27.53824074
Experiment,3,2,21,27.03055556
Experiment,3,3,21,27.96111111
Experiment,4,1,21,27.02777778
Experiment,4,2,21,27.30833333
Experiment,4,3,21,28.76666667
Experiment,5,1,21,27.12222222
Experiment,5,2,21,27.46111111
Experiment,5,3,21,27.74722222
Experiment,6,1,21,26.94166667
Experiment,6,2,21,27.45
Experiment,6,3,21,28.09444444
Experiment,7,1,21,27.59722222
Experiment,7,2,21,27.41388889
Experiment,7,3,21,27.6
Experiment,8,1,21,27.74166667
Experiment,8,2,21,27.36388889
Experiment,8,3,21,28.09166667
Experiment,9,1,21,27.43611111
Experiment,9,2,21,27.98333333
Experiment,9,3,21,27.76111111
Experiment,10,1,21,27
Experiment,10,2,21,27.48055556
Experiment,10,3,21,27.48888889
Experiment,11,1,21,27.46944444
Experiment,11,2,21,27.54166667
Experiment,1,1,22,27.17777778
Experiment,1,2,22,28.01111111
Experiment,1,3,22,28.29444444
Experiment,2,1,22,27.31666667
Experiment,2,2,22,27.76009259
Experiment,2,3,22,27.92777778
Experiment,3,1,22,27.76009259
Experiment,3,2,22,27.53888889
Experiment,3,3,22,28.08055556
Experiment,4,1,22,27.5
Experiment,4,2,22,27.31111111
Experiment,4,3,22,28.95277778
Experiment,5,1,22,27.72222222
Experiment,5,2,22,27.30555556
Experiment,5,3,22,27.76111111
Experiment,6,1,22,27.31388889
Experiment,6,2,22,27.82777778
Experiment,6,3,22,28.22777778
Experiment,7,1,22,27.76111111
Experiment,7,2,22,27.54722222
Experiment,7,3,22,28.11111111
Experiment,8,1,22,28.25
Experiment,8,2,22,27.61388889
Experiment,8,3,22,28.09722222
Experiment,9,1,22,27.64166667
Experiment,9,2,22,27.69166667
Experiment,9,3,22,27.975
Experiment,10,1,22,27.84444444
Experiment,10,2,22,27.26388889
Experiment,10,3,22,27.61944444
Experiment,11,1,22,27.56388889
Experiment,11,2,22,27.55277778
Experiment,1,1,23,27.69491525
Experiment,1,2,23,28.21666667
Experiment,1,3,23,28.68888889
Experiment,2,1,23,27.48055556
Experiment,2,2,23,28.00168236
Experiment,2,3,23,28.09444444
Experiment,3,1,23,28.00168236
Experiment,3,2,23,27.82222222
Experiment,3,3,23,28.24722222
Experiment,4,1,23,27.78055556
Experiment,4,2,23,27.425
Experiment,4,3,23,28.95
Experiment,5,1,23,27.97222222
Experiment,5,2,23,27.71944444
Experiment,5,3,23,27.83611111
Experiment,6,1,23,27.73611111
Experiment,6,2,23,27.55
Experiment,6,3,23,28.45555556
Experiment,7,1,23,27.73611111
Experiment,7,2,23,27.73611111
Experiment,7,3,23,28.48055556
Experiment,8,1,23,28.25833333
Experiment,8,2,23,28.26111111
Experiment,8,3,23,28.66666667
Experiment,9,1,23,27.90277778
Experiment,9,2,23,28.10833333
Experiment,9,3,23,28.40555556
Experiment,10,1,23,27.73611111
Experiment,10,2,23,27.41111111
Experiment,10,3,23,27.80555556
Experiment,11,1,23,27.95
Experiment,11,2,23,27.92222222
