Chamber,ElapsedDays,pr_mn,pr_lo,pr_hi,M_mn,M_lo,M_hi,A_mn,A_lo,A_hi,phi_mn,Group,Species
1,1.416666667,0.135024936,0.063402423,0.2128446,0.166372548,0.092918124,0.247012539,0.337451613,0.078117117,0.61520321,23.30249597,Experiment,Zebrafish
1,1.458333333,0.133989101,0.060828955,0.208141535,0.166089981,0.092586229,0.245866033,0.338926704,0.079227082,0.615498235,23.30699535,Experiment,Zebrafish
1,1.5,0.133541032,0.064050002,0.210797621,0.165790839,0.093093775,0.245722226,0.340400122,0.081769678,0.616933094,23.31108032,Experiment,Zebrafish
1,1.541666667,0.13342301,0.064338465,0.2130603,0.165475678,0.093045742,0.244863239,0.341870862,0.081240503,0.617307862,23.31474827,Experiment,Zebrafish
1,1.583333333,0.133731222,0.061665613,0.214901544,0.165145147,0.092974021,0.244234643,0.343337933,0.076319584,0.612620539,23.31799803,Experiment,Zebrafish
1,1.625,0.13490143,0.063647626,0.2214446,0.164799991,0.091850703,0.242431197,0.344800364,0.077322435,0.613399438,23.32082976,Experiment,Zebrafish
1,1.666666667,0.137539322,0.063963647,0.227600267,0.16444104,0.092943415,0.242895078,0.346257204,0.082332912,0.618652233,23.32324502,Experiment,Zebrafish
1,1.708333333,0.142200482,0.063334055,0.233786729,0.164069212,0.091978828,0.241215678,0.347707528,0.080353957,0.616125743,23.32524673,Experiment,Zebrafish
1,1.75,0.149200765,0.06459217,0.243214026,0.163685506,0.092103369,0.240611021,0.349150436,0.082849117,0.617885912,23.32683912,Experiment,Zebrafish
1,1.791666667,0.158454456,0.076565344,0.261481874,0.163291,0.09213505,0.240048273,0.350585056,0.085990349,0.620493425,23.32802774,Experiment,Zebrafish
1,1.833333333,0.169323543,0.07797763,0.266679701,0.162886843,0.091857739,0.239385444,0.352010543,0.094220962,0.628233591,23.3288194,Experiment,Zebrafish
1,1.875,0.180528952,0.090302644,0.282273489,0.16247425,0.093193684,0.240055968,0.353426081,0.088422515,0.622178937,23.32922209,Experiment,Zebrafish
1,1.916666667,0.19026147,0.09873966,0.291488992,0.162054498,0.091148133,0.23721894,0.354830887,0.089762954,0.622389909,23.32924502,Experiment,Zebrafish
1,1.958333333,0.196617031,0.105640125,0.299986953,0.161628917,0.094856272,0.24026056,0.356224204,0.092434172,0.623311901,23.32889846,Experiment,Zebrafish
1,2,0.19826561,0.107925964,0.30036668,0.161198884,0.094797545,0.239312144,0.357605309,0.091319125,0.620686778,23.32819377,Experiment,Zebrafish
1,2.041666667,0.194975841,0.103589824,0.296079891,0.160765813,0.095148482,0.239167228,0.358973509,0.098093078,0.626079347,23.32714327,Experiment,Zebrafish
1,2.083333333,0.18763007,0.098270142,0.289140623,0.160331151,0.095479486,0.238604102,0.36032814,0.09881601,0.625955215,23.32576019,Experiment,Zebrafish
1,2.125,0.177766509,0.088947974,0.275052325,0.159896365,0.095000743,0.237355927,0.361668571,0.103984753,0.63086814,23.32405862,Experiment,Zebrafish
1,2.166666667,0.167006528,0.079887466,0.258286458,0.159462938,0.09161359,0.233485738,0.362994201,0.103817048,0.629476358,23.3220534,Experiment,Zebrafish
1,2.208333333,0.156660835,0.075648973,0.244372898,0.159032356,0.094661683,0.235787643,0.36430446,0.105051662,0.629162124,23.31976007,Experiment,Zebrafish
1,2.25,0.147581975,0.071975587,0.233165863,0.158606099,0.094342719,0.234686678,0.365598808,0.118521455,0.64262612,23.31719475,Experiment,Zebrafish
1,2.291666667,0.140188208,0.068858257,0.221602869,0.158185634,0.094443044,0.234331757,0.366876739,0.119712429,0.642627905,23.31437412,Experiment,Zebrafish
1,2.333333333,0.134558056,0.066846034,0.212450728,0.157772403,0.093176795,0.232501105,0.368137776,0.125052916,0.648513423,23.31131527,Experiment,Zebrafish
1,2.375,0.130530253,0.066945408,0.206253274,0.157367816,0.092125763,0.230700132,0.369381477,0.125763708,0.649583511,23.30803566,Experiment,Zebrafish
1,2.416666667,0.127791133,0.067786846,0.202589476,0.15697324,0.092616795,0.230540311,0.370607432,0.128799246,0.651813246,23.30455303,Experiment,Zebrafish
1,2.458333333,0.125965905,0.063046527,0.193636958,0.156589988,0.092330073,0.229700343,0.371815263,0.124424706,0.644970956,23.3008853,Experiment,Zebrafish
1,2.5,0.12473857,0.062781696,0.19382999,0.156219315,0.092655094,0.229589412,0.373004631,0.123827763,0.643767164,23.2970505,Experiment,Zebrafish
1,2.541666667,0.123994442,0.059843101,0.192343081,0.155862406,0.094199101,0.230410935,0.374175231,0.12390374,0.642552299,23.29306671,Experiment,Zebrafish
1,2.583333333,0.123919038,0.063494066,0.198714287,0.155520366,0.094557915,0.230149033,0.375326795,0.127418891,0.644408226,23.28895192,Experiment,Zebrafish
1,2.625,0.124969849,0.062163403,0.201947931,0.155194218,0.094692679,0.229717972,0.376459096,0.135867783,0.651258117,23.28472405,Experiment,Zebrafish
1,2.666666667,0.127723359,0.061312422,0.206841328,0.154884892,0.092789248,0.227432732,0.377571945,0.134031554,0.647529787,23.28040077,Experiment,Zebrafish
1,2.708333333,0.132685022,0.063376912,0.215371086,0.154593216,0.09413082,0.228331779,0.378665194,0.135601034,0.646877047,23.27599952,Experiment,Zebrafish
1,2.75,0.140118875,0.07037979,0.230399625,0.154319918,0.092919572,0.226714863,0.37973874,0.140040268,0.649412645,23.2715374,Experiment,Zebrafish
1,2.791666667,0.149886221,0.068532,0.2350129,0.154065614,0.092893541,0.226201941,0.380792522,0.138260656,0.646463523,23.26703109,Experiment,Zebrafish
1,2.833333333,0.161284062,0.08468018,0.254497676,0.153830805,0.095582994,0.22825742,0.381826522,0.142335964,0.64853948,23.26249686,Experiment,Zebrafish
1,2.875,0.172950948,0.092235305,0.265555789,0.153615877,0.095870457,0.228034664,0.382840771,0.143590338,0.647092671,23.25795045,Experiment,Zebrafish
1,2.916666667,0.18299574,0.097744757,0.272863323,0.153421093,0.088189508,0.219927324,0.383835342,0.144630611,0.647532966,23.25340705,Experiment,Zebrafish
1,2.958333333,0.189473838,0.103206679,0.279561304,0.153246597,0.088830139,0.220042071,0.384810355,0.145526033,0.647408228,23.24888126,Experiment,Zebrafish
1,3,0.191086023,0.106233447,0.283682873,0.153092409,0.089326147,0.220053932,0.385765978,0.138091004,0.638083862,23.24438702,Experiment,Zebrafish
1,3.041666667,0.187682627,0.108167395,0.283948657,0.152958425,0.090696956,0.220862346,0.386702419,0.149328358,0.647666813,23.23993765,Experiment,Zebrafish
1,3.083333333,0.180223829,0.09856409,0.272245506,0.15284442,0.090866663,0.220470366,0.387619936,0.149607098,0.646966848,23.23554573,Experiment,Zebrafish
1,3.125,0.170286084,0.090575661,0.258148208,0.15275005,0.092397245,0.221611388,0.388518824,0.151568799,0.647680754,23.23122315,Experiment,Zebrafish
1,3.166666667,0.15949155,0.083604979,0.245474699,0.152674851,0.091008687,0.219831685,0.389399425,0.156235514,0.650508091,23.22698105,Experiment,Zebrafish
1,3.208333333,0.149136354,0.076143083,0.228555582,0.152618247,0.091647901,0.220103134,0.390262116,0.161673624,0.65405448,23.22282983,Experiment,Zebrafish
1,3.25,0.140063812,0.07308115,0.217151996,0.152579551,0.094037695,0.222048092,0.391107313,0.162577492,0.651834698,23.21877913,Experiment,Zebrafish
1,3.291666667,0.132698358,0.069197244,0.205599886,0.152557972,0.090865818,0.218354846,0.391935466,0.165642856,0.653306392,23.21483787,Experiment,Zebrafish
1,3.333333333,0.127141516,0.067070767,0.196712466,0.152552618,0.090922969,0.21822074,0.392747056,0.166755421,0.651937847,23.21101417,Experiment,Zebrafish
1,3.375,0.12326968,0.064190504,0.187858531,0.152562507,0.090791706,0.217589684,0.393542591,0.169554837,0.651446663,23.20731545,Experiment,Zebrafish
1,3.416666667,0.120817806,0.062977667,0.18224848,0.15258657,0.091984518,0.21863897,0.394322607,0.170654998,0.651091104,23.20374839,Experiment,Zebrafish
1,3.458333333,0.1194639,0.064700553,0.182235267,0.152623659,0.092422511,0.218783673,0.395087658,0.171228646,0.650097556,23.20031897,Experiment,Zebrafish
1,3.5,0.118936092,0.063687669,0.181191429,0.152672559,0.092096535,0.218152528,0.395838317,0.173015507,0.650208291,23.19703248,Experiment,Zebrafish
1,3.541666667,0.119136631,0.06370754,0.184421393,0.152731991,0.092741481,0.218648346,0.396575169,0.17462213,0.650432247,23.19389354,Experiment,Zebrafish
1,3.583333333,0.120227799,0.062183896,0.186464281,0.152800624,0.093129675,0.218514148,0.397298813,0.169420771,0.643725705,23.19090616,Experiment,Zebrafish
1,3.625,0.122612988,0.06072683,0.189647686,0.152877085,0.093265973,0.218493743,0.398009851,0.180657942,0.652824538,23.18807375,Experiment,Zebrafish
1,3.666666667,0.126809881,0.061846785,0.196387997,0.152959966,0.093178724,0.218080151,0.398708889,0.184342095,0.654093473,23.18539917,Experiment,Zebrafish
1,3.708333333,0.133275157,0.068024172,0.209008749,0.153047834,0.094358937,0.219215079,0.399396533,0.185283899,0.65226018,23.18288474,Experiment,Zebrafish
1,3.75,0.142223641,0.073157114,0.220950347,0.153139241,0.094280711,0.219202484,0.400073384,0.184214354,0.649536319,23.18053233,Experiment,Zebrafish
1,3.791666667,0.153441014,0.080789978,0.236362469,0.153232732,0.094008652,0.218907687,0.40074004,0.186016032,0.647990677,23.17834336,Experiment,Zebrafish
1,3.833333333,0.166101574,0.090848082,0.251357334,0.153326859,0.094130887,0.218865199,0.401397086,0.18877316,0.649007404,23.17631885,Experiment,Zebrafish
1,3.875,0.178683152,0.102885664,0.268429001,0.153420182,0.094523373,0.21916795,0.402045099,0.19018907,0.649141612,23.17445951,Experiment,Zebrafish
1,3.916666667,0.189146829,0.110700167,0.278595005,0.153511284,0.09245077,0.216968093,0.40268464,0.180736603,0.638982719,23.17276571,Experiment,Zebrafish
1,3.958333333,0.195480016,0.116135082,0.286507168,0.153598778,0.092615252,0.217096442,0.403316257,0.195021638,0.650242046,23.17123761,Experiment,Zebrafish
1,4,0.19642364,0.115388505,0.284144673,0.153681313,0.096846989,0.22114477,0.403940483,0.194548109,0.646772168,23.16987513,Experiment,Zebrafish
1,4.041666667,0.191949046,0.112760634,0.281322279,0.153757584,0.096617765,0.220948675,0.40455783,0.195834102,0.643814723,23.16867805,Experiment,Zebrafish
1,4.083333333,0.183176239,0.107271337,0.271951373,0.15382634,0.095993201,0.220168839,0.405168796,0.198524601,0.64537556,23.16764604,Experiment,Zebrafish
1,4.125,0.171849639,0.096264196,0.255490187,0.153886385,0.096613634,0.220453278,0.405773861,0.199989259,0.647375087,23.16677869,Experiment,Zebrafish
1,4.166666667,0.159740651,0.089930007,0.240925516,0.153936593,0.096702528,0.220285588,0.406373485,0.192552753,0.638617676,23.16607556,Experiment,Zebrafish
